# ID, Label, Sum, Omnivariance, Eigenentropy, Linearity, Planarity, Sphericity, Anisotropy,Relative Height, Area Bounding Box, Area Oriented Bounding Box, Aspect Ratio, Density m2,Density m3, Area Convex Hull, Shape Index , Distance Z, Distance XY
 164.00000,   1.00000,   2.72320,   0.34385,   0.45586,   0.82183,   0.15876,   0.01941,   0.98059,   1.30000,  13.15602,  12.05798,   2.30255,  30.18747,  23.22112,  11.07593,   0.82109,   0.20607,   0.10961
 165.00000,   1.00000,   2.26073,   0.27390,   0.37532,   0.89426,   0.08148,   0.02427,   0.97573,   1.31000,   9.41222,   9.41222,   2.63493,  14.23681,  10.86779,   7.86262,   0.66368,   0.32642,   0.20058
 166.00000,   1.00000,   2.44635,   0.35880,   0.48513,   0.82304,   0.14550,   0.03146,   0.96854,   1.62000,  10.42440,  10.20143,   2.18557,  17.35052,  10.71020,   8.97563,   0.73534,   0.38904,   0.16080
 167.00000,   1.00000,   1.93029,   0.26301,   0.46027,   0.83306,   0.14124,   0.02570,   0.97430,   0.98000,  11.09167,   8.51220,   2.62861,  16.68193,  17.02238,   7.38482,   0.64720,   0.15500,   0.05952
 168.00000,   1.00000,   2.86016,   0.51063,   0.52821,   0.85324,   0.07694,   0.06982,   0.93018,   1.56000,  13.66484,  13.66484,   2.53878,  28.24767,  18.10748,  11.67682,   0.81086,   0.14259,   0.08693
 169.00000,   1.00000,   2.35221,   0.32323,   0.45298,   0.84342,   0.12906,   0.02751,   0.97249,   1.28000,  11.66166,  11.59107,   2.29987,  31.23095,  24.39918,   9.97085,   0.77520,   0.24622,   0.04738
 170.00000,   1.00000,   1.94630,   0.26899,   0.45401,   0.84371,   0.12822,   0.02806,   0.97194,   1.04000,   8.89009,   8.79270,   2.28507,  30.13863,  28.97946,   7.79099,   0.68924,   0.11732,   0.13087
 171.00000,   1.00000,   2.15669,   0.30066,   0.45899,   0.84026,   0.13129,   0.02845,   0.97155,   1.18000,  12.29740,  11.88553,   2.42593,  25.15664,  21.31919,  10.03469,   0.77194,   0.12946,   0.09210
 172.00000,   1.00000,   2.25861,   0.31507,   0.41882,   0.88558,   0.07828,   0.03614,   0.96386,   1.30000,   8.52510,   8.49048,   2.61116,  22.14245,  17.03265,   7.44543,   0.62733,   0.30234,   0.28091
 173.00000,   1.00000,   1.87547,   0.26317,   0.47438,   0.82384,   0.14882,   0.02734,   0.97266,   1.09000,   9.04042,   8.83512,   2.21032,  31.12576,  28.55574,   7.71157,   0.68925,   0.11387,   0.07988
 174.00000,   1.00000,   1.92435,   0.28623,   0.49880,   0.80972,   0.15873,   0.03155,   0.96845,   1.32000,   9.76745,   8.92442,   2.13327,  15.68729,  11.88431,   7.38714,   0.67673,   0.30093,   0.16004
 175.00000,   1.00000,   1.98337,   0.26592,   0.38829,   0.90723,   0.05525,   0.03752,   0.96248,   1.20000,  13.04919,   7.07215,   2.78650,  20.92715,  17.43930,   6.04230,   0.56036,   0.19135,   0.16883
 176.00000,   1.00000,   2.20320,   0.32868,   0.50907,   0.79680,   0.17250,   0.03070,   0.96930,   1.28000,  20.39403,  12.90716,   2.25866,  25.95459,  20.27701,  11.13019,   0.82374,   0.05660,   0.10366
 177.00000,   1.00000,   2.10664,   0.25436,   0.42647,   0.84512,   0.13653,   0.01835,   0.98165,   1.14000,  11.04543,  10.92199,   2.37575,  25.08701,  22.00615,   9.19187,   0.74231,   0.28394,   0.19766
 178.00000,   1.00000,   1.87532,   0.32902,   0.51651,   0.86121,   0.07032,   0.06847,   0.93153,   1.77000,   8.35805,   8.35040,   2.11486,  18.92124,  10.68996,   7.55716,   0.67118,   0.46367,   0.19072
 179.00000,   1.00000,   1.91417,   0.27537,   0.47638,   0.82822,   0.14169,   0.03009,   0.96991,   1.22000,   9.67511,   9.05665,   2.27017,  28.81862,  23.62182,   7.92737,   0.69053,   0.26559,   0.08259
